sp|P0DOE3|AIMR_BPPHT,gi|1160577997|sp|P0DOE3.1|AIMR_BPPHT;gi|1103773893|gb|APD21232.1|,100.000,100.00,378,0,0,1,378,1,378,3.77e-111,338
sp|P0DOE3|AIMR_BPPHT,gi|1196916923|ref|WP_086352547.1|;gi|1193126900|gb|OTQ88472.1|,100.000,100.00,378,0,0,1,378,6,383,1.52e-110,337
sp|P0DOE3|AIMR_BPPHT,gi|1039476533|ref|WP_064814730.1|;gi|1036597220|gb|OBA05423.1|,99.471,99.74,378,2,0,1,378,6,383,2.53e-110,337
sp|P0DOE3|AIMR_BPPHT,gi|1000988877|ref|WP_061187760.1|;gi|1000054730|gb|KXJ35310.1|,93.122,98.15,378,26,0,1,378,6,383,3.66e-109,333
sp|P0DOE3|AIMR_BPPHT,gi|504230805|ref|WP_014417907.1|;gi|380498758|emb|CCG49796.1|;gi|387172500|gb|AFJ61961.1|,58.575,77.04,379,156,1,1,378,6,384,1.98e-106,326
sp|P0DOE3|AIMR_BPPHT,gi|835360768|ref|WP_047474270.1|,58.575,77.04,379,156,1,1,378,6,384,2.90e-106,326
sp|P0DOE3|AIMR_BPPHT,gi|949747222|ref|WP_057080579.1|;gi|1229289135|gb|OYD12306.1|,58.575,77.04,379,156,1,1,378,6,384,4.88e-106,325
sp|P0DOE3|AIMR_BPPHT,gi|661280909|ref|WP_029974455.1|,58.839,77.04,379,155,1,1,378,6,384,6.33e-106,325
sp|P0DOE3|AIMR_BPPHT,gi|740673386|ref|WP_038458675.1|;gi|631801453|gb|AHZ16118.1|,58.575,76.78,379,156,1,1,378,6,384,2.23e-105,324
sp|P0DOE3|AIMR_BPPHT,gi|1119669932|ref|WP_072589269.1|;gi|1111275943|gb|APH36090.1|,58.575,77.31,379,156,1,1,378,6,384,2.87e-105,323
sp|P0DOE3|AIMR_BPPHT,gi|1011802119|ref|WP_062623454.1|;gi|1024255831|gb|ANB49284.1|,71.429,88.36,378,106,1,1,378,6,381,1.23e-104,322
